,,,,,,,2,2,2,4,5,4,5,4,5,6,7,6,7,6,7,8,9,8,9,8,9,10,11,10,11,10,11,12,13,12,13,12,13,14,15,14,15,14,15,16,17,16,17,16,17
,,,,,,,CON,REG,CTRY,CON,CON,REG,REG,CTRY,CTRY,CON,CON,REG,REG,CTRY,CTRY,CON,CON,REG,REG,CTRY,CTRY,CON,CON,REG,REG,CTRY,CTRY,CON,CON,REG,REG,CTRY,CTRY,CON,CON,REG,REG,CTRY,CTRY,CON,CON,REG,REG,CTRY,CTRY
,,,,,,,Level,Level,Level,Level,%,Level,%,Level,%,Level,%,Level,%,Level,%,Level,%,Level,%,Level,%,Level,%,Level,%,Level,%,Level,%,Level,%,Level,%,Level,%,Level,%,Level,%,Level,%,Level,%,Level,%
,,,,,,,All_qual,All_qual,All_qual,No_qual,No_qual,No_qual,No_qual,No_qual,No_qual,Lev_1_qual,Lev_1_qual,Lev_1_qual,Lev_1_qual,Lev_1_qual,Lev_1_qual,Lev_2_qual,Lev_2_qual,Lev_2_qual,Lev_2_qual,Lev_2_qual,Lev_2_qual,Appren,Appren,Appren,Appren,Appren,Appren,Lev_3_qual,Lev_3_qual,Lev_3_qual,Lev_3_qual,Lev_3_qual,Lev_3_qual,Lev_4_qual,Lev_4_qual,Lev_4_qual,Lev_4_qual,Lev_4_qual,Lev_4_qual,Oth_qual,Oth_qual,Oth_qual,Oth_qual,Oth_qual,Oth_qual
ONSConstID,ConstituencyName,RegionID,RegionName,CountryID,CountryName,Date,CONLevelAll_qual,REGLevelAll_qual,CTRYLevelAll_qual,CONLevelNo_qual,CON%No_qual,REGLevelNo_qual,REG%No_qual,CTRYLevelNo_qual,CTRY%No_qual,CONLevelLev_1_qual,CON%Lev_1_qual,REGLevelLev_1_qual,REG%Lev_1_qual,CTRYLevelLev_1_qual,CTRY%Lev_1_qual,CONLevelLev_2_qual,CON%Lev_2_qual,REGLevelLev_2_qual,REG%Lev_2_qual,CTRYLevelLev_2_qual,CTRY%Lev_2_qual,CONLevelAppren,CON%Appren,REGLevelAppren,REG%Appren,CTRYLevelAppren,CTRY%Appren,CONLevelLev_3_qual,CON%Lev_3_qual,REGLevelLev_3_qual,REG%Lev_3_qual,CTRYLevelLev_3_qual,CTRY%Lev_3_qual,CONLevelLev_4_qual,CON%Lev_4_qual,REGLevelLev_4_qual,REG%Lev_4_qual,CTRYLevelLev_4_qual,CTRY%Lev_4_qual,CONLevelOth_qual,CON%Oth_qual,REGLevelOth_qual,REG%Oth_qual,CTRYLevelOth_qual,CTRY%Oth_qual
E14000554,Berwick-upon-Tweed,E12000001,North East,K02000001,United Kingdom,2011,63866,2134449,51307392,15354,24.0409607615946,565208,26.5,11897294,23.1882649580006,8569,13.4171546675853,291852,13.7,7223057,14.0780045885006,10599,16.5956847148718,335926,15.7,7779426,15.1623882967975,2923,4.57677011242289,101328,4.7,1692239,3.29823624634828,7205,11.2814330003445,279693,13.1,6218908,12.1208811393103,16547,25.9089343312561,473382,22.2,13864683,27.0227787060391,2669,4.17906241192497,87060,4.1,2631785,5.12944606500365
E14000569,Bishop Auckland,E12000001,North East,K02000001,United Kingdom,2011,72102,2134449,51307392,21622,29.9880724529139,565208,26.5,11897294,23.1882649580006,9695,13.4462289534271,291852,13.7,7223057,14.0780045885006,11612,16.1049624143574,335926,15.7,7779426,15.1623882967975,3245,4.50056863887271,101328,4.7,1692239,3.29823624634828,8745,12.12865107764,279693,13.1,6218908,12.1208811393103,14414,19.9911236858894,473382,22.2,13864683,27.0227787060391,2769,3.84039277689939,87060,4.1,2631785,5.12944606500365
E14000574,Blaydon,E12000001,North East,K02000001,United Kingdom,2011,72958,2134449,51307392,18535,25.4050275500973,565208,26.5,11897294,23.1882649580006,10316,14.1396419858001,291852,13.7,7223057,14.0780045885006,11813,16.1915074426382,335926,15.7,7779426,15.1623882967975,4108,5.63063680473697,101328,4.7,1692239,3.29823624634828,8577,11.7560788398805,279693,13.1,6218908,12.1208811393103,16755,22.965267688259,473382,22.2,13864683,27.0227787060391,2854,3.91183968858796,87060,4.1,2631785,5.12944606500365
E14000575,Blyth Valley,E12000001,North East,K02000001,United Kingdom,2011,67289,2134449,51307392,17260,25.6505520961821,565208,26.5,11897294,23.1882649580006,10664,15.8480583750687,291852,13.7,7223057,14.0780045885006,11868,17.6373552883829,335926,15.7,7779426,15.1623882967975,3691,5.48529477329133,101328,4.7,1692239,3.29823624634828,8797,13.0734592578282,279693,13.1,6218908,12.1208811393103,12565,18.6731858104594,473382,22.2,13864683,27.0227787060391,2444,3.63209439878732,87060,4.1,2631785,5.12944606500365
E14000641,City of Durham,E12000001,North East,K02000001,United Kingdom,2011,80604,2134449,51307392,16489,20.4568011513076,565208,26.5,11897294,23.1882649580006,8481,10.5218103319934,291852,13.7,7223057,14.0780045885006,10664,13.2301126494963,335926,15.7,7779426,15.1623882967975,2423,3.00605429010967,101328,4.7,1692239,3.29823624634828,15920,19.7508808495856,279693,13.1,6218908,12.1208811393103,23618,29.3012753709493,473382,22.2,13864683,27.0227787060391,3009,3.73306535655799,87060,4.1,2631785,5.12944606500365
